         166433114 function calls (166432988 primitive calls) in 108.465 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
       17    0.000    0.000    0.000    0.000 {range}
        6    0.000    0.000    0.000    0.000 sre_parse.py:84(closegroup)
       11    0.000    0.000    0.000    0.000 {max}
        1    0.000    0.000    0.000    0.000 calendar.py:66(_localized_day)
        3    0.000    0.000    0.000    0.000 sre_parse.py:217(isname)
        1    0.000    0.000    0.000    0.000 LegendConfig.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:126(Calendar)
        9    0.000    0.000    0.000    0.000 sre_parse.py:135(__setitem__)
        3    0.000    0.000    0.000    0.000 {method 'toordinal' of 'datetime.date' objects}
       14    0.000    0.000    0.000    0.000 sre_compile.py:25(_identityfunction)
        3    0.000    0.000    0.000    0.000 {_locale.setlocale}
        3    0.000    0.000    0.000    0.000 sre_parse.py:711(literal)
        4    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'groupdict' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 calendar.py:259(TextCalendar)
        1    0.000    0.000    0.000    0.000 Config.py:2(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:132(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:376(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 _strptime.py:31(LocaleTime)
        3    0.000    0.000    0.000    0.000 sre_parse.py:211(isident)
        6    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 calendar.py:21(IllegalMonthError)
        3    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 calendar.py:28(IllegalWeekdayError)
        1    0.000    0.000    0.000    0.000 calendar.py:488(TimeEncoding)
        1    0.000    0.000    0.000    0.000 calendar.py:536(LocaleHTMLCalendar)
        3    0.000    0.000    0.000    0.000 _strptime.py:212(<genexpr>)
        1    0.000    0.000    0.000    0.000 calendar.py:501(LocaleTextCalendar)
        1    0.000    0.000    0.000    0.000 _strptime.py:176(TimeRE)
        2    0.000    0.000    0.000    0.000 calendar.py:71(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:138(setfirstweekday)
        1    0.000    0.000    0.000    0.000 {method 'iterkeys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 makeviewerconfig:36(Template)
        1    0.000    0.000    0.000    0.000 getopt.py:38(GetoptError)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'weekday' of 'datetime.date' objects}
        1    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        2    0.000    0.000    0.000    0.000 calendar.py:50(<lambda>)
        2    0.000    0.000    0.000    0.000 calendar.py:52(__init__)
        1    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 {method '__getitem__' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
